student_id,branch,gender,year,cgpa,attendance_pct,aptitude_score,technical_score,communication_score,projects_count,internships_count,cert_count,extracurricular_score,mock_interview_score,softskill_rating,is_placed,placed_role
S0001,CS,M,2,8.0,83,79,98,63,0,1,2,55,73,53,1,IT Support
S0002,IT,F,2,7.74,65,42,59,43,0,0,1,66,51,40,0,NA
S0003,CE,M,3,7.62,79,59,85,68,1,0,0,47,73,61,0,NA
S0004,IT,M,2,7.71,65,48,72,72,0,0,0,63,59,51,1,DevOps
S0005,IT,F,4,7.04,95,70,33,58,0,1,1,52,57,64,0,NA
S0006,EC,M,2,7.29,78,43,86,61,1,0,2,51,85,63,0,NA
S0007,CS,M,2,7.46,100,28,82,64,1,1,0,54,90,53,1,QA
S0008,ME,M,2,7.29,80,73,87,68,0,1,3,66,74,63,1,QA
S0009,ME,M,4,7.8,87,69,65,38,0,0,1,51,74,46,0,NA
S0010,ME,F,2,7.48,68,51,50,58,1,0,1,51,53,42,0,NA
S0011,CS,M,4,8.27,73,59,86,52,2,0,1,87,89,78,1,SDE
S0012,IT,F,4,5.95,85,43,67,46,1,0,0,90,66,55,0,NA
S0013,CE,M,2,8.86,100,69,72,39,1,1,3,83,59,53,1,QA
S0014,ME,M,3,7.67,72,84,92,76,0,0,3,40,73,59,1,QA
S0015,CE,F,3,6.61,76,61,68,64,2,0,0,76,54,79,1,IT Support
S0016,EC,F,3,6.43,89,58,74,68,2,0,1,58,73,50,0,NA
S0017,EC,M,2,8.13,100,74,57,74,3,0,4,61,82,67,0,NA
S0018,CE,F,4,8.45,91,67,87,52,1,0,1,55,64,54,1,Data Analyst
S0019,CE,M,4,7.03,95,66,45,45,1,0,1,73,61,67,0,NA
S0020,CE,F,4,5.47,86,47,71,49,0,1,2,57,55,49,1,DevOps
S0021,IT,F,2,9.27,89,57,95,97,1,0,1,80,93,100,1,DevOps
S0022,EC,M,4,4.26,74,47,26,76,1,0,1,31,55,62,0,NA
S0023,CE,M,4,7.7,78,69,62,61,1,0,2,73,64,60,1,DevOps
S0024,ME,F,3,8.38,80,62,66,74,3,0,3,89,85,75,1,SDE
S0025,CS,F,2,9.05,80,69,82,63,1,1,1,78,76,69,0,NA
S0026,ME,F,4,9.41,95,50,71,79,3,0,0,36,49,75,0,NA
S0027,CE,F,2,6.67,81,69,52,45,0,0,0,64,55,63,1,QA
S0028,EC,M,3,6.05,70,49,55,62,2,0,0,89,50,75,1,Data Analyst
S0029,CS,M,2,7.82,76,76,97,64,0,1,0,68,81,75,0,NA
S0030,CS,M,3,7.6,77,68,77,84,1,0,1,79,79,91,0,NA
S0031,IT,M,2,6.66,79,31,53,46,4,1,1,63,33,72,0,NA
S0032,CS,M,4,7.43,82,71,47,61,3,0,0,58,57,62,0,NA
S0033,CS,F,3,7.51,85,60,79,46,2,0,1,57,66,44,0,NA
S0034,CE,M,2,7.61,100,70,89,80,1,0,2,63,79,68,1,Data Analyst
S0035,CE,M,3,8.56,67,55,37,50,2,0,2,74,43,69,1,DevOps
S0036,CE,F,3,7.88,84,38,68,41,0,0,0,73,41,61,0,NA
S0037,EC,F,4,7.44,94,52,76,54,0,0,0,44,47,47,0,NA
S0038,IT,F,3,9.46,85,66,83,61,2,0,1,55,53,71,1,DevOps
S0039,CS,M,4,8.35,75,72,90,50,1,0,0,61,67,55,1,QA
S0040,EC,M,4,6.85,74,89,79,62,0,0,2,89,65,68,1,Data Analyst
S0041,EC,M,4,8.43,100,51,83,53,0,0,0,50,37,58,0,NA
S0042,CS,F,3,7.26,75,57,80,70,2,0,1,40,65,36,1,QA
S0043,EC,F,3,7.04,81,42,79,45,1,0,0,65,54,62,0,NA
S0044,EC,F,2,8.03,99,33,56,66,2,0,1,55,62,58,0,NA
S0045,IT,F,3,7.38,86,57,77,57,2,0,1,53,63,68,1,Data Analyst
S0046,CE,F,2,5.63,81,58,86,69,1,1,1,55,79,67,1,SDE
S0047,ME,M,4,7.84,80,78,100,69,0,0,0,64,100,70,0,NA
S0048,CE,F,4,8.54,79,68,56,51,0,0,2,67,33,61,1,QA
S0049,EC,M,4,5.72,99,68,56,62,2,1,2,37,61,53,1,IT Support
S0050,IT,M,2,9.38,98,100,70,46,2,1,2,57,50,50,1,IT Support
S0051,CS,F,2,6.49,68,74,63,40,2,0,0,34,51,23,0,NA
S0052,CS,M,2,7.27,91,94,86,60,0,1,1,37,73,48,1,IT Support
S0053,EC,F,3,7.39,86,100,47,77,1,0,0,6,65,38,0,NA
S0054,CE,M,3,6.09,77,43,91,79,0,0,0,85,86,80,1,SDE
S0055,CE,M,2,6.28,92,57,53,68,2,0,0,68,40,85,0,NA
S0056,CS,M,2,6.98,95,54,39,31,1,0,1,72,46,51,0,NA
S0057,IT,F,3,7.14,84,70,35,33,0,1,2,74,20,59,0,NA
S0058,CE,M,3,8.53,89,76,91,90,0,1,1,80,83,85,1,Data Analyst
S0059,ME,M,2,7.15,86,44,76,39,1,0,1,44,63,43,0,NA
S0060,CE,F,2,8.11,69,70,59,33,1,0,1,79,38,74,1,SDE
S0061,CE,M,2,8.0,90,53,87,37,0,1,0,82,61,65,1,Data Analyst
S0062,ME,F,2,8.56,86,85,85,83,1,0,0,81,93,83,1,DevOps
S0063,ME,M,2,6.42,95,61,73,62,1,0,1,60,54,73,0,NA
S0064,EC,M,4,7.31,80,88,70,76,2,0,1,30,73,63,0,NA
S0065,ME,F,3,8.72,78,65,30,66,3,0,0,66,44,57,1,IT Support
S0066,CE,F,3,6.5,77,61,66,83,0,1,1,40,86,59,0,NA
S0067,IT,M,2,9.81,78,96,100,43,0,0,0,61,63,63,1,SDE
S0068,CS,M,2,7.13,73,77,84,68,0,0,1,52,65,61,0,NA
S0069,CE,M,4,6.89,81,68,70,70,0,0,1,100,69,100,1,SDE
S0070,ME,M,4,8.19,74,20,56,76,1,0,0,66,68,74,0,NA
S0071,CE,M,3,8.32,90,87,93,86,0,1,1,72,87,80,1,QA
S0072,ME,M,3,6.81,89,70,71,57,0,0,2,60,71,80,0,NA
S0073,CS,M,3,7.77,80,76,70,79,1,1,1,31,87,44,1,Data Analyst
S0074,IT,M,2,5.69,94,51,59,64,0,0,0,49,80,55,0,NA
S0075,CS,F,3,5.8,80,40,54,67,0,0,2,79,68,72,0,NA
S0076,CS,M,4,6.27,100,74,56,47,0,0,1,46,57,46,1,QA
S0077,CE,M,4,7.84,89,77,78,72,0,0,3,86,66,97,1,IT Support
S0078,CS,M,2,6.76,84,39,73,52,1,0,1,79,43,73,0,NA
S0079,CS,F,2,7.87,89,68,59,54,1,0,2,51,45,52,1,SDE
S0080,EC,M,3,6.5,82,89,73,53,0,0,2,71,84,65,0,NA
S0081,EC,F,4,8.4,91,87,63,79,1,0,1,63,58,65,0,NA
S0082,CS,M,2,7.48,100,93,75,62,0,0,0,62,81,60,0,NA
S0083,ME,F,4,7.02,100,46,38,57,2,1,2,80,57,70,1,SDE
S0084,CE,M,3,8.98,98,65,84,71,0,0,1,65,77,79,1,DevOps
S0085,ME,M,2,7.34,95,33,71,43,2,0,0,66,51,57,0,NA
S0086,ME,M,2,5.94,82,28,63,55,0,0,1,84,69,81,0,NA
S0087,EC,M,4,7.88,89,84,74,57,0,0,2,56,63,46,0,NA
S0088,IT,F,2,7.58,65,81,74,76,2,0,0,2,63,45,0,NA
S0089,EC,M,4,6.88,100,61,68,73,3,1,1,69,72,75,1,Data Analyst
S0090,CS,M,2,8.14,73,95,51,61,1,1,1,44,60,66,0,NA
S0091,CE,M,3,7.26,94,84,44,64,2,0,1,74,40,54,1,DevOps
S0092,IT,M,2,6.61,100,39,57,39,0,0,2,47,59,39,0,NA
S0093,CE,M,4,7.05,84,47,37,76,2,1,2,23,65,52,1,QA
S0094,EC,F,3,7.31,90,66,49,43,1,0,0,40,64,49,0,NA
S0095,CS,M,2,6.52,82,70,44,57,1,0,0,33,50,50,0,NA
S0096,EC,F,4,6.92,85,71,67,78,1,0,1,67,57,65,0,NA
